id;name;slug;provinceId
18.05;Tulang Bawang;tulang-bawang;8
18.06;Tanggamus;tanggamus;8
18.07;Lampung Timur;lampung-timur;8
18.08;Way Kanan;way-kanan;8
18.09;Pesawaran;pesawaran;8
18.10;Pringsewu;pringsewu;8
18.11;Mesuji;mesuji;8
18.12;Tulang Bawang Barat;tulang-bawang-barat;8
18.13;Pesisir Barat;pesisir-barat;8
18.71;Kota Bandar Lampung;kota-bandar-lampung;8
18.72;Kota Metro;kota-metro;8
19.01;Bangka;bangka;9
19.02;Belitung;belitung;9
19.03;Bangka Selatan;bangka-selatan;9
19.04;Bangka Tengah;bangka-tengah;9
19.05;Bangka Barat;bangka-barat;9
19.06;Belitung Timur;belitung-timur;9
19.71;Kota Pangkal Pinang;kota-pangkal-pinang;9
21.01;Bintan;bintan;10
21.02;Karimun;karimun;10
21.03;Natuna;natuna;10
21.04;Lingga;lingga;10
21.05;Kepulauan Anambas;kepulauan-anambas;10
21.71;Kota Batam;kota-batam;10
21.72;Kota Tanjung Pinang;kota-tanjung-pinang;10
31.01;Kepulauan Seribu;kepulauan-seribu;11
31.71;Kota Jakarta Pusat;kota-jakarta-pusat;11
31.72;Kota Jakarta Utara;kota-jakarta-utara;11
31.73;Kota Jakarta Barat;kota-jakarta-barat;11
31.74;Kota Jakarta Selatan;kota-jakarta-selatan;11
31.75;Kota Jakarta Timur;kota-jakarta-timur;11
32.01;Bogor;bogor;12
32.02;Sukabumi;sukabumi;12
32.03;Cianjur;cianjur;12
32.04;Bandung;bandung;12
32.05;Garut;garut;12
32.06;Tasikmalaya;tasikmalaya;12
32.07;Ciamis;ciamis;12
32.08;Kuningan;kuningan;12
32.09;Cirebon;cirebon;12
32.10;Majalengka;majalengka;12
32.11;Sumedang;sumedang;12
32.12;Indramayu;indramayu;12
32.13;Subang;subang;12
32.14;Purwakarta;purwakarta;12
32.15;Karawang;karawang;12
32.16;Bekasi;bekasi;12
32.17;Bandung Barat;bandung-barat;12
32.18;Pangandaran;pangandaran;12
32.71;Kota Bogor;kota-bogor;12
32.72;Kota Sukabumi;kota-sukabumi;12
32.73;Kota Bandung;kota-bandung;12
32.74;Kota Cirebon;kota-cirebon;12
32.75;Kota Bekasi;kota-bekasi;12
32.76;Kota Depok;kota-depok;12
32.77;Kota Cimahi;kota-cimahi;12
32.78;Kota Tasikmalaya;kota-tasikmalaya;12
32.79;Kota Banjar;kota-banjar;12
33.01;Cilacap;cilacap;13
33.02;Banyumas;banyumas;13
33.03;Purbalingga;purbalingga;13
33.04;Banjarnegara;banjarnegara;13
33.05;Kebumen;kebumen;13
33.06;Purworejo;purworejo;13
33.07;Wonosobo;wonosobo;13
33.08;Magelang;magelang;13
33.09;Boyolali;boyolali;13
33.10;Klaten;klaten;13
